业务模块,功能模块,功能项,功能点,KANO类型,X,Y
报表报告,查询报表,事件生命周期查询,动环面客,基本,,
报表报告,查询报表,数据查询,动环面客,基本,,
工程组态,工程组态,空间设备管理,工程施工,基本,,
工程组态,工程组态,连接管理,工程施工,基本,,
工程组态,工程组态,配置项管理,工程施工,基本,,
工程组态,工程组态,模板管理,工程施工,基本,,
工程组态,工程组态,页面组态,工程施工,基本,,
工程组态,工程组态,设备组态,工程施工,基本,,
工程组态,工程组态,图元管理,工程施工,基本,,
工程组态,工程组态,历史曲线图元,工程施工,期望,,
工程组态,工程组态,报警图元,工程施工,基本,,
工程组态,工程组态,电力组态,工程施工,基本,,
工程组态,工程组态,摄像头图元,工程施工,基本,,
界面展示,组态页面展示,浏览器,动环面客,基本,,
界面展示,组态页面展示,搜索查询,动环面客,基本,,
界面展示,组态页面展示,分层分级页面展示,动环面客,基本,,
界面展示,组态页面展示,设备页面标准化展示,动环面客,基本,,
界面展示,组态页面展示,页面导航,动环面客,基本,,
界面展示,组态页面展示,设备树,动环面客,基本,,
界面展示,组态页面展示,屏幕和分辨率适配,动环面客,基本,,
界面展示,组态页面展示,矢量缩放,动环面客,魅力,,
界面展示,组态页面展示,页面风格,动环面客,魅力,,
界面展示,告警展示,告警统计展示,动环面客,基本,,
界面展示,告警展示,告警事件栏,动环面客,基本,,
界面展示,告警展示,告警360,动环面客,期望,,
界面展示,告警展示,列设置,用户配置,魅力,,
界面展示,大屏展示,大屏展示,动环面客,期望,,
界面展示,大屏展示,界面轮播,动环面客,期望,,
消息中心,通知公告,公告总览,动环面客,基本,,
消息中心,通知公告,创建公告,动环面客,基本,,
消息中心,通知公告,草稿箱,动环面客,基本,,
消息中心,通知公告,已发公告,动环面客,基本,,
消息中心,通知公告,全部公告,动环面客,基本,,
消息中心,通知公告,公告配置,动环面客,基本,,
消息中心,系统消息,消息总览,动环面客,基本,,
消息中心,系统消息,消息配置,动环面客,基本,,
资产信息,资产总览,资产信息,动环面客,魅力,,
资产信息,资产总览,新增资产,动环面客,魅力,,
资产信息,资产总览,下载模板,动环面客,魅力,,
资产信息,资产总览,资产导出,动环面客,魅力,,
资产信息,资产总览,上架导入,动环面客,魅力,,
资产信息,资产总览,批量更新,动环面客,魅力,,
资产信息,资产总览,批量绑定,动环面客,魅力,,
资产信息,资产总览,刷新,动环面客,魅力,,
资产信息,资产总览,定位,动环面客,魅力,,
资产信息,资产总览,操作,动环面客,魅力,,
资产信息,配置,资产检测设备,用户配置,魅力,,
资产信息,配置,自动上下架配置,用户配置,魅力,,
资产信息,配置,自动绑定配置,用户配置,魅力,,
资产信息,配置,U位指示灯状态配置,用户配置,魅力,,
资产信息,配置,资产条告警级别配置,用户配置,魅力,,
抓拍记录,抓拍记录,抓拍记录,动环面客,魅力,,
云平板,信息展示,总览,动环面客,基本,,
云平板,信息展示,配电,动环面客,基本,,
云平板,信息展示,环境,动环面客,基本,,
云平板,信息展示,防护,动环面客,基本,,
云平板,信息展示,IT设施,动环面客,基本,,
云平板,信息展示,资产信息,动环面客,基本,,
云平板,个人设置,信息详情,用户配置,基本,,
云平板,个人设置,刷脸设置,用户配置,基本,,
云平板,个人设置,修改密码,用户配置,基本,,
云平板,个人设置,问题反馈,用户配置,基本,,
云平板,个人设置,告警配置,用户配置,基本,,
云平板,个人设置,当前版本,用户配置,基本,,
云平板,个人设置,注销登录,用户配置,基本,,
云平板,告警展示,告警统计展示,动环面客,基本,,
云平板,人脸识别,人脸识别,动环面客,魅力,,
门禁,门禁系统,开门控制,动环面客,魅力,,
门禁,门禁系统,用户管理,动环面客,魅力,,
门禁,门禁系统,门禁记录,动环面客,魅力,,
